"id","m_element","meaning"
"13163","獎","prize"
"13164","獎","reward"
"13165","獎","give award to"
"13166","獏","tapir"
"13167","默","silent"
"13168","默","quiet"
"13169","默","still"
"13170","默","dark"
"13171","獗","storm around"
"13172","獗","be crazy"
"13173","獪","crafty"
"13174","獨","alone"
"13175","獨","spontaneously"
"13176","獨","Germany"
"13177","獰","bad"
"13178","獸","beast"
"13179","獸","animal"
"13180","獸","bestial"
"13181","獵","hunt"
"13182","獵","field sports"
"13183","獻","offer"
"13184","獻","present"
"13185","獻","show"
"13186","獻","display"
"13187","獺","otter"
"13188","珈","ornamental hairpin"
"13189","玳","tortoise shell"
"13190","珎","precious"
"13191","珎","valuable"
"13192","珎","rare"
"13193","玻","glass"
"13194","珀","amber"
"13195","珥","ear bauble"
"13196","珥","hilt"
"13197","珮","bauble"
"13198","珮","jewel"
"13199","珞","necklace"
"13200","璢","precious stone"
"13201","琅","a precious stone"
"13202","瑯","precious stone"
"13203","琥","jewelled utensil"
"13204","珸","jewel"
"13205","琲","string of many pearls"
"13206","琺","enamel"
"13207","瑕","flaw"
"13208","瑕","blemish"
"13209","琿","jewel"
"13210","瑟","large koto"
"13211","瑙","agate"
"13212","瑙","onyx"
"13213","瑁","ancient Chinese imperial jewels"
"13214","瑜","jewel"
"13215","瑩","clear"
"13216","瑰","strange"
"13217","瑣","small"
"13218","瑣","chain"
"13219","瑪","agate"
"13220","瑪","onyx"
"13221","瑶","beautiful as a jewel"
"13222","瑾","jewel"
"13223","璋","ceremonial jeweled implement"
"13224","璞","uncut gem"
"13225","璞","unpolished gem"
"13226","璧","sphere"
"13227","璧","ball"
"13228","瓊","red jewel"
"13229","瓊","beautiful jewel"
"13230","瓏","clarity"
"13231","瓏","sound of jewels"
"13232","瓔","jewelled necklace"
"13233","珱","a necklace made of precious stones"
"13234","瓠","gourd"
"13235","瓣","petal"
"13236","瓣","valve"
"13237","瓧","ten grams"
"13238","瓧","(kokuji)"
"13239","瓩","kilogram"
"13240","瓩","(kokuji)"
"13241","瓮","jar"
"13242","瓮","jug"
"13243","瓮","container"
"13244","瓲","tonne"
"13245","瓲","thousand kilograms"
"13246","瓲","(kokuji)"
"13247","瓰","decigram"
"13248","瓰","(kokuji)"
"13249","瓱","milligram"
"13250","瓱","(kokuji)"
"13251","瓸","hectogram"
"13252","瓸","hundred grams"
"13253","瓸","(kokuji)"
"13254","瓷","high quality porcelain"
"13255","甄","porcelain"
"13256","甄","make clear"
"13257","甄","distinguish between"
"13258","甃","floor tile"
"13259","甅","centigram"
"13260","甅","(kokuji)"
"13261","甌","small jar"
"13262","甌","jug"
"13263","甎","floor tiles"
"13264","甍","roof tile"
"13265","甍","tiled roof"
"13266","甕","jar"
"13267","甕","jug"
"13268","甕","vat"
"13269","甓","floor tiles"
"13270","甞","lick"
"13271","甞","lap up"
"13272","甞","burn up"
"13273","甞","taste"
"13274","甞","undergo"
"13275","甞","underrate"
"13276","甞","despise"
"13277","甦","be resuscitated"
"13278","甦","revived"
"13279","甬","road with walls on both sides"
"13280","甼","town"
"13281","甼","block"
"13282","畄","fasten"
"13283","畄","halt"
"13284","畄","stop"
"13285","畍","circle"
"13286","畍","world"
"13287","畊","plow"
"13288","畊","cultivate"
"13289","畉","till"
"13290","畉","cultivate"
"13291","畛","boundary between paddies"
"13292","畆","Chinese land measure"
"13293","畆","fields"
"13294","畚","basket"
"13295","畚","hamper"
"13296","畩","surplice"
"13297","畩","(kokuji)"
"13298","畤","festival grounds"
"13299","畧","abbreviation"
"13300","畧","omission"
"13301","畧","outline"
"13302","畧","shorten"
"13303","畧","capture"
"13304","畧","plunder"
"13305","畫","picture"
"13306","畫","sketch"
"13307","畫","drawing"
"13308","畫","stroke"
"13309","畫","mark"
"13310","畫","divide"
"13311","畭","new field"
"13312","畸","difference"
"13313","畸","strange"
"13314","畸","cripple"
"13315","當","bear"
"13316","當","accept"
"13317","當","undertake"
"13318","當","just"
"13319","疆","boundary"
"13320","疇","before"
"13321","疇","companion"
"13322","疇","same kind"
"13323","畴","farmland"
"13324","畴","arable land"
"13325","畴","category"
"13326","疊","tatami"
"13327","疊","counter for tatami mats"
"13328","疊","fold"
"13329","疊","shut up"
"13330","疊","do away with"
"13331","疉","repeat"
"13332","疉","duplicate"
"13333","疉","repetitious"
"13334","疂","counter for tatami mats"
"13335","疂","fold"
"13336","疔","carbuncle"
"13337","疚","ashamed"
"13338","疚","painful"
"13339","疚","guilty conscience"
"13340","疝","colic"
"13341","疝","stomach ache"
"13342","疥","scabby eruption"
"13343","疣","wart"
"13344","痂","scab"
"13345","痂","dry up"
"13346","痂","slough"
"13347","疳","children's diseases"
"13348","痃","cramps"
"13349","疵","crack"
"13350","疵","flaw"
"13351","疵","scratch"
"13352","疵","speck"
"13353","疽","carbuncle"
"13354","疸","jaundice"
"13355","疼","ache"
"13356","疼","pain"
"13357","疼","tingle"
"13358","疼","fester"
"13359","疱","smallpox"
"13360","疱","blister"
"13361","痍","injury"
"13362","痊","heal"
"13363","痒","itchy"
"13364","痙","have a cramp"
"13365","痣","birthmark"
"13366","痣","mole"
"13367","痞","constipation"
"13368","痞","costiveness in chest or intestines"
"13369","痾","chronic illness"
"13370","痿","atrophy"
"13371","痿","go numb"
"13372","痿","be paralysed"
"13373","痼","chronic illness"
"13374","瘁","take sick"
"13375","瘁","fatigue"
"13376","痰","sputum"
"13377","痰","phlegm"
"13378","痺","palsy"
"13379","痺","become numb"
"13380","痺","paralysed"
"13381","痲","measles"
"13382","痲","paralysis"
"13383","痳","gonorrhea"
"13384","瘋","insanity"
"13385","瘋","headache"
"13386","瘍","swelling"
"13387","瘍","boil"
"13388","瘍","tumor"
"13389","瘉","get well"
"13390","瘉","recover"
"13391","瘟","contagious disease"
"13392","瘧","ague"
"13393","瘧","intermittent fever"
"13394","瘠","get thin"
"13395","瘠","lose weight"
"13396","瘠","become sterile"
"13397","瘡","wound"
"13398","瘡","boil"
"13399","瘡","syphilis"
"13400","瘢","scar"
"13401","瘤","lump"
"13402","瘤","swelling"
"13403","瘴","miasma"
"13404","瘰","swollen neck glands"
"13405","瘻","fistula"
"13406","癇","bitter"
"13407","癇","hot temper"
"13408","癇","irritable"
"13409","癇","nervous"
"13410","癈","chronic illness"
"13411","癈","getting crippled"
"13412","癆","rash"
"13413","癆","pain"
"13414","癆","debilitation"
"13415","癜","leucoderma"
"13416","癜","piebald skin"
"13417","癘","contagious disease"
"13418","癘","leprosy"
"13419","癡","foolish"
"13420","癢","itchy"
"13421","癨","heatstroke"
"13422","癨","sunstroke"
"13423","癩","leprosy"
"13424","癪","spasms"
"13425","癪","(kokuji)"
"13426","癧","swollen neck glands"
"13427","癬","ringworm"
"13428","癰","boil"
"13429","癰","carbuncle"
"13430","癲","insanity"
"13431","癶","dotted tent radical (no. 105)"
"13432","癸","10th calendar sign"
"13433","發","departure"
"13434","發","publish"
"13435","發","emit"
"13436","發","start from"
"13437","發","disclose"
"13438","皀","fragrant"
"13439","皀","grain"
"13440","皃","countenance"
"13441","皃","appearance"
"13442","皈","homecoming"
"13443","皈","arrive at"
"13444","皈","lead to"
"13445","皈","result in"
"13446","皋","the high land along a river"
"13447","皎","white"
"13448","皎","shining"
"13449","皖","Venus"
"13450","皖","morning star"
"13451","皖","place name"
"13452","皓","white"
"13453","皓","clear"
"13454","皙","clear"
"13455","皚","white"
"13456","皰","pimple"
"13457","皴","wrinkles"
"13458","皴","cracking"
"13459","皴","creases"
"13460","皸","skin cracks or roughness"
"13461","皹","skin cracks or roughness"
"13462","皺","wrinkles"
"13463","皺","creases"
"13464","皺","folds"
"13465","盂","bowl"
"13466","盍","come together"
"13467","盍","congregate"
"13468","盍","meet"
"13469","盍","cover"
"13470","盖","cover"
"13471","盖","lid"
"13472","盖","flap"
"13473","盒","covered utensil"
"13474","盞","sake cup"
"13475","盡","exhaust"
"13476","盡","use up"
"13477","盡","run out of"
"13478","盡","deplete"
"13479","盡","befriend"
"13480","盡","serve"
"13481","盥","tub"
"13482","盥","washbasin"
"13483","盧","hut"
"13484","盪","melt"
"13485","盪","be charmed"
"13486","盪","captivated"
"13487","蘯","to toss about"
"13488","蘯","to swing"
"13489","蘯","to rock"
"13490","盻","glare at"
"13491","盻","toil"
"13492","眈","watch intently"
"13493","眇","minuteness"
"13494","眇","squint"
"13495","眄","looking askance"
"13496","眩","faint"
"13497","眩","dizzy"
"13498","眤","glance at"
"13499","眤","gaze at"
"13500","眞","truth"
"13501","眞","reality"
"13502","眞","Buddhist sect"
"13503","眥","outside the corner of the eye"
"13504","眦","corner of the eyes"
"13505","眦","eyesockets"
"13506","眛","dark"
"13507","眷","look around"
"13508","眷","regard affectionately"
"13509","眸","pupil of the eye"
"13510","睇","looking askance at"
"13511","睚","glare"
"13512","睚","angry look"
"13513","睨","glaring at"
"13514","睨","authority"
"13515","睨","power"
"13516","睨","scowl at"
"13517","睫","eyelashes"
"13518","睛","pupil of the eye"
"13519","睥","glare at"
"13520","睿","intelligence"
"13521","睿","imperial"
"13522","睾","testicles"
"13523","睹","look at"
"13524","睹","see"
"13525","瞎","blind eye"
"13526","瞎","one eye"
"13527","瞋","be angry"
"13528","瞑","sleep"
"13529","瞑","dark"
"13530","瞑","close eyes"
"13531","瞠","stare intently"
"13532","瞞","deception"
"13533","瞰","look"
"13534","瞰","see"
"13535","瞶","see everything"
"13536","瞹","hidden"
"13537","瞹","unclear"
"13538","瞿","surname"
"13539","瞼","eyelids"
"13540","瞽","blind person"
"13541","瞻","look at"
"13542","矇","blind"
"13543","矍","surprise & confusion"
"13544","矗","luxuriance"
"13545","矚","look intently"
"13546","矜","pride"
"13547","矜","respect"
"13548","矣","sentence particle"
"13549","矮","low"
"13550","矮","short"
"13551","矼","stepping stone"
"13552","矼","hard"
"13553","矼","serious minded"
"13554","砌","time"
"13555","砌","occasion"
"13556","砒","arsenic"
"13557","礦","mine"
"13558","礦","mineral"
"13559","礦","ore"
"13560","砠","stony hill"
"13561","砠","stony mountain"
"13562","礪","whetstone"
"13563","礪","polish"
"13564","硅","silicon"
"13565","碎","break"
"13566","碎","smash"
"13567","碎","broken"
"13568","碎","busted"
"13569","硴","oyster"
"13570","硴","(kokuji)"
"13571","碆","arrowhead"
"13572","碆","weight attached to an arrow by a cord"
"13573","硼","sound of stones struck together"
"13574","硼","boron"
"13575","碚","mound"
"13576","碚","bud"
"13577","碌","satisfactory"
"13578","碣","round stone"
"13579","碣","monument"
"13580","碵","cornerstone"
"13581","碵","large"
"13582","碵","great"
"13583","碵","eminent"
"13584","碪","stone slab used for washing clothes"
"13585","碪","an anvil"
"13586","碯","agate"
"13587","磑","mortar"
"13588","磑","hand mill"
"13589","磆","stone implement"
"13590","磋","polish"
"13591","磔","crucifixion"
"13592","碾","mortar"
"13593","碾","grind"
"13594","碼","number"
"13595","碼","wharf"
"13596","碼","agate"
"13597","碼","yard (91.44 cm)"
"13598","磅","become obstructed"
"13599","磅","pound (sterling, lb)"
"13600","磊","many stones"
"13601","磬","upside-V-shaped gong"
"13602","磧","expanse of sand"
"13603","磧","pebbly beach"
"13604","磚","tile"
"13605","磽","rocky"
"13606","磽","barren"
"13607","磴","stone steps"
"13608","磴","stone bridge"
"13609","礇","jewel"
"13610","礒","rock"
"13611","礒","beach"
"13612","礒","shore"
"13613","礑","bottom"
"13614","礑","base"
"13615","礑","slap"
"13616","礑","bang"
"13617","礑","all of a sudden"
"13618","礙","obstruct"
"13619","礙","hinder"
"13620","礙","block"
"13621","礙","deter"
"13622","礬","alum"
"13623","礫","small stones"
"13624","祀","enshrine"
"13625","祀","worship"
"13626","祠","small shrine"
"13627","祗","respectful"
"13628","祟","curse"
"13629","祟","haunt"
"13630","祚","imperial throne"
"13631","祚","happiness"
"13632","祕","mysterious"
"13633","祕","secret"
"13634","祕","abstruse"
"13635","祓","exorcise"
"13636","祺","fortunate"
"13637","祺","blessed"
"13638","祺","peace of mind"
"13639","祺","security"
"13640","祿","fief"
"13641","祿","allowance"
"13642","祿","pension"
"13643","祿","grant"
"13644","祿","happiness"
"13645","禊","Shinto purification ceremony"
"13646","禝","proper name"
"13647","禧","fortunate"
"13648","禧","auspicious"
"13649","齋","Buddhist food"
"13650","齋","room"
"13651","齋","religious purification"
"13652","齋","worship"
"13653","齋","avoid"
"13654","齋","alike"
"13655","禪","Zen Buddhism"
"13656","禪","silent meditation"
"13657","禮","social custom"
"13658","禮","manners"
"13659","禮","courtesy"
"13660","禮","rites"
"13661","禳","exorcise"
"13662","禳","drive away"
"13663","禹","name of a Chinese emperor"
"13664","禺","long-tailed monkey"
"13665","秉","take"
"13666","秉","cherish"
"13667","秉","sheaf"
"13668","秉","unit of volume (10 koku; 1,800 l)"
"13669","秕","empty grain or rice husk"
"13670","秕","chaff"
"13671","秧","rice"
"13672","秧","seedlings"
"13673","秬","a type of millet"
"13674","秡","damaged grain"
"13675","秣","fodder"
"13676","稈","straw"
"13677","稈","hollow stem"
"13678","稍","slightly"
"13679","稘","straw"
"13680","稘","one year"
"13681","稙","early-maturing rice"
"13682","稠","density"
"13683","稟","salary in rice"
"13684","禀","salary in rice"
"13685","稱","call"
"13686","稱","name"
"13687","稱","brand"
"13688","稱","address"
"13689","稱","say"
"13690","稻","rice plant"
"13691","稾","draft"
"13692","稾","manuscript"
"13693","稾","rough copy"
"13694","稷","millet"
"13695","穃","(ghost kanji)"
"13696","穗","ear (of grain)"
"13697","穗","head"
"13698","穗","crest (of wave)"
"13699","穉","infancy"
"13700","穡","harvest"
"13701","穢","dirty"
"13702","穩","calm"
"13703","龝","autumn"
"13704","穰","abundance"
"13705","穹","sky"
"13706","穽","sunken trap"
"13707","窈","quiet"
"13708","窗","window"
"13709","窗","pane"
"13710","窕","quiet"
"13711","窘","rebuke"
"13712","窖","cellar"
"13713","窩","cave"
"13714","窩","pouch"
"13715","竈","hearth"
"13716","竈","kitchen stove"
"13717","窰","brick kiln"
"13718","窰","furnace"
"13719","窰","coal mine pit"
"13720","窶","emaciated"
"13721","竅","hole"
"13722","竅","cave"
"13723","竄","flee"
"13724","窿","vault (of sky)"
"13725","窿","dome"
"13726","邃","deep"
"13727","邃","profound"
"13728","竇","hole"
"13729","竇","doorway"
"13730","竇","ditch"
"13731","竊","steal"
"13732","竊","secret"
"13733","竊","private"
"13734","竊","hushed"
"13735","竍","decalitre"
"13736","竍","(kokuji)"
"13737","竏","kilolitre"
"13738","竏","(kokuji)"
"13739","竕","decilitre"
"13740","竕","(kokuji)"
"13741","竓","millilitre"
"13742","竓","(kokuji)"
"13743","站","stop"
"13744","站","halt"
"13745","竚","stop"
"13746","竚","linger"
"13747","竝","line up"
"13748","竝","be in a row"
"13749","竝","rank with"
"13750","竝","rival"
"13751","竝","equal"
"13752","竡","hectolitre"
"13753","竡","(kokuji)"
"13754","竢","wait for"
"13755","竢","wait until"
"13756","竢","as soon as"
"13757","竦","crouch"
"13758","竦","cower"
"13759","竭","end"
"13760","竭","exhaust"
"13761","竰","centilitre"
"13762","竰","(kokuji)"
"13763","笂","quiver"
"13764","笂","arrow holder"
"13765","笂","(kokuji)"
"13766","笏","mace"
"13767","笏","baton"
"13768","笏","scepter"
"13769","笊","bamboo basket"
"13770","笆","thorny bamboo"
"13771","笆","bamboo fence"
"13772","笳","reed flute"
"13773","笘","whip"
"13774","笘","cane"
"13775","笘","wooden writing slate"
"13776","笙","a reed instrument"
"13777","笞","whip"
"13778","笞","rod"
"13779","笞","scourge"
"13780","笞","crime punishable by flogging"
"13781","笵","bamboo frame"
"13782","笵","law"
"13783","笨","coarse"
"13784","笶","arrow"
"13785","筐","bamboo basket"
"13786","筺","bamboo basket"
"13787","笄","hairpin"
"13788","笄","crossbar of anchor"
"13789","笄","metal rod on sheath"
"13790","筍","bamboo shoot"
"13791","笋","bamboo shoot"
"13792","筌","fish trap"
"13793","筌","weir"
"13794","筅","bamboo whisk for tea-making"
"13795","筵","straw mat"
"13796","筥","round basket"
"13797","筴","insert between"
"13798","筴","chopsticks"
"13799","筴","divining sticks"
"13800","筴","plan"
"13801","筧","waterpipe"
"13802","筧","flume"
"13803","筰","bamboo rope"
"13804","筱","dwarf bamboo"
"13805","筱","diminutive in person's name"
"13806","筬","reed"
"13807","筬","guide for yarn on a loom"
"13808","筮","(water) divining equipment"
"13809","箝","insert"
"13810","箝","fit into"
"13811","箝","attach (a clog thong)"
"13812","箘","a type of bamboo"
"13813","箘","bamboo shoots"
"13814","箘","dice"
"13815","箟","a type of bamboo"
"13816","箟","bamboo shoots"
"13817","箟","dice"
"13818","箍","barrel hoop"
"13819","箜","type of harp"
"13820","箚","progress report"
"13821","箋","paper"
"13822","箋","label"
"13823","箋","letter"
"13824","箋","composition"
"13825","箒","broom"
"13826","箏","a koto"
"13827","筝","koto"
"13828","箙","quiver"
"13829","篋","box"
"13830","篁","bamboo grove"
"13831","篌","type of harp"
"13832","篏","inlay"
"13833","篏","set in"
"13834","篏","fall into"
"13835","篏","rugged"
"13836","箴","warning"
"13837","箴","counsel"
"13838","箴","presept"
"13839","箴","needle"
"13840","篆","seal-style characters"
"13841","篝","campfire"
"13842","篝","fishing fire"
"13843","篝","beacon basket"
"13844","篩","sieve"
"13845","篩","sift"
"13846","篩","screen"
"13847","簑","a coat raincoat"
"13848","簔","straw raincoat"
"13849","篦","spatula"
"13850","篦","arrow shaft"
"13851","篥","horn"
"13852","篥","flageolet"
"13853","籠","basket"
"13854","籠","devote oneself"
"13855","籠","seclude oneself"
"13856","籠","cage"
"13857","籠","coop"
"13858","籠","implied"
"13859","簀","rough mat (reeds)"
"13860","簇","group"
"13861","簇","crowd"
"13862","簇","swarm"
"13863","簓","bamboo whisk"
"13864","簓","(kokuji)"
"13865","篳","fence"
"13866","篷","woven rush awning"
"13867","簗","weir"
"13868","簗","fish trap"
"13869","簗","(kokuji)"
"13870","簍","bamboo basket"
"13871","篶","black bamboo"
"13872","篶","slender bamboo"
"13873","簣","earth-carrying basket"
"13874","簧","flute reed"
"13875","簪","ornamental hairpin"
"13876","簟","a type of bamboo"
"13877","簟","round bamboo lunchbox"
"13878","簷","eaves"
"13879","簫","pan pipes"
"13880","簫","flute"
"13881","簽","label"
"13882","簽","signature"
"13883","籌","plan"
"13884","籃","basket"
"13885","籔","thicket"
"13886","籔","bush"
"13887","籔","underbrush"
"13888","籔","grove"
"13889","籏","flag"
"13890","籏","banner"
"13891","籀","a style of calligraphy"
"13892","籐","rattan"
"13893","籐","cane"
"13894","籘","climbing plants"
"13895","籘","vines"
"13896","籘","cane"
"13897","籟","rattling of the wind"
"13898","籤","lottery"
"13899","籤","raffle"
"13900","籖","lottery"
"13901","籖","raffle"
"13902","籥","three-holed flute"
"13903","籬","rough-woven fence"
"13904","籬","bamboo hedge"
"13905","籵","dekametre"
"13906","籵","(kokuji)"
"13907","粃","empty grain husk"
"13908","粐","rice-bran"
"13909","粤","alas"
"13910","粭","chaff"
"13911","粭","rice hulls"
"13912","粭","(kokuji)"
"13913","粢","millet"
"13914","粢","rice cakes"
"13915","粫","nonglutinous grain"
"13916","粡","unpolished rice"
"13917","粨","hectometre"
"13918","粨","(kokuji)"
"13919","粳","ordinary rice"
"13920","粲","bright"
"13921","粱","high quality rice"
"13922","粮","food"
"13923","粮","provisions"
"13924","粹","pure"
"13925","粹","unadulterated"
"13926","粹","select"
"13927","粽","rice dumplings steamed in bamboo leaves"
"13928","糀","malt"
"13929","糀","(kokuji)"
"13930","糅","mix"
"13931","糂","mixing rice into soup"
"13932","糘","chaff"
"13933","糘","rice hulls"
"13934","糘","(kokuji)"
"13935","糒","dried boiled rice"
"13936","糜","be inflamed"
"13937","糢","rice snacks"
"13938","鬻","sell"
"13939","鬻","deal in"
"13940","鬻","rice gruel"
"13941","糯","glutinous rice"
"13942","糲","unpolished rice"
"13943","糴","sell (grain)"
"13944","糴","auction"
"13945","糶","auction"
"13946","糺","ask"
"13947","糺","investigate"
"13948","糺","verify"
"13949","糺","twist (rope)"
"13950","紆","crouch"
"13951","紂","harness strap"
"13952","紂","window"
"13953","紜","disorder"
"13954","紜","confusion"
"13955","紕","braiding"
"13956","紕","decoration"
"13957","紕","error"
"13958","紊","disturb"
"13959","絅","thin silk"
"13960","絋","cotton wadding"
"13961","紮","tie up"
"13962","紲","fetters"
"13963","紿","deceive"
"13964","紵","flax"
"13965","紵","linen"
"13966","絆","bonds"
"13967","絆","fetters"
"13968","絳","red"
"13969","絖","white rice"
"13970","絎","blindstitch"
"13971","絲","thread"
"13972","絨","wool cloth"
"13973","絮","cotton"
"13974","絏","tie"
"13975","絣","splashed pattern (on cloth)"
"13976","經","classic works"
"13977","經","pass through"
"13978","綉","embroidery"
"13979","絛","braid"
"13980","綏","peaceful"
"13981","綏","cheap"
"13982","綏","grab strap"
"13983","絽","silk gauze"
"13984","綛","splashed dye pattern"
"13985","綛","reel"
"13986","綛","skein"
"13987","綛","(kokuji)"
"13988","綺","figured cloth"
"13989","綺","beautiful"
"13990","綮","emblem on banner"
"13991","綣","attachment"
"13992","綣","affection"
"13993","綵","colorful"
"13994","緇","black clothing"
"13995","緇","priest"
"13996","綽","loose"
"13997","綽","lenient"
"13998","綫","thread"
"13999","綫","line"
"14000","總","collect"
"14001","總","overall"
"14002","總","altogether"
"14003","綢","be clothed in"
"14004","綢","tie"
"14005","綢","detailed"
"14006","綢","fine"
"14007","綯","twist"
"14008","綯","make rope"
"14009","緜","cotton"
"14010","綸","thread"
"14011","綸","silk cloth"
"14012","綟","yellowish green"
"14013","綟","coarse mesh linen"
"14014","綰","bend around"
"14015","緘","shut"
"14016","緘","seal"
"14017","緝","spin thread"
"14018","緝","bring together"
"14019","緝","shine"
"14020","緤","leash"
"14021","緞","damask"
"14022","緻","fine (i.e. not coarse)"
"14023","緲","faint"
"14024","緲","far off"
"14025","緡","paper string"
"14026","縅","the thread/braid (of armour)"
"14027","縅","(kokuji)"
"14028","縊","strangle"
"14029","縣","county"
"14030","縣","district"
"14031","縣","subdivision"
"14032","縡","breath"
"14033","縡","life"
"14034","縒","twist"
"14035","縱","indulge in"
"14036","縱","give free reign to"
"14037","縟","decoration"
"14038","縉","thin red cloth"
"14039","縉","high officer"
"14040","縋","cling"
"14041","縋","hang on"
"14042","縋","depend"
"14043","縢","cross-stitch"
"14044","縢","darn"
"14045","繆","error"
"14046","繆","wrap around"
"14047","繦","string of coins"
"14048","繦","child's obi"
"14049","繦","nappy"
"14050","縻","rope"
"14051","縵","unpatterned silk"
"14052","縵","loose"
"14053","縹","light blue"
"14054","繃","wrap"
"14055","縷","thread"
"14056","縲","tie"
"14057","縺","tangle"
"14058","縺","knot"
"14059","縺","fasten"
"14060","縺","fetter"
"14061","繧","a method of dyeing"
"14062","繝","a method of dyeing"
"14063","繖","parasol"
"14064","繖","umbrella"
"14065","繞","surround"
"14066","繞","return"
"14067","繙","peruse"
"14068","繚","put on"
"14069","繚","twist around"
"14070","繹","pull out"
"14071","繪","picture"
"14072","繪","drawing"
"14073","繪","painting"
"14074","繪","sketch"
"14075","繩","rope"
"14076","繩","cord"
"14077","繼","succeed"
"14078","繼","inherit"
"14079","繼","patch"
"14080","繼","graft (tree)"
"14081","繻","satin"
"14082","纃","splashed pattern dyeing or weaving"
"14083","纃","(kokuji)"
"14084","緕","splashed pattern dyeing or weaving"
"14085","繽","disorder"
"14086","繽","scattering"
"14087","辮","braid"
"14088","繿","rags"
"14089","纈","tie-dyeing"
"14090","纈","purblind"
"14091","纉","succeed to"
"14092","纉","inherit"
"14093","續","continue"
"14094","續","carry on"
"14095","續","succeed"
"14096","纒","wear"
"14097","纒","wrap"
"14098","纒","tie"
"14099","纒","follow around"
"14100","纒","collect"
"14101","纐","tie-dyeing"
"14102","纐","(kokuji)"
"14103","纓","crown string"
"14104","纓","breast harness"
"14105","纔","a little"
"14106","纖","fine"
"14107","纖","slender"
"14108","纖","thin kimono"
"14109","纎","fine"
"14110","纎","delicate"
"14111","纎","minute"
"14112","纎","graceful"
"14113","纛","flag"
"14114","纛","banner"
"14115","纜","hawser"
"14116","缸","urn"
"14117","缺","lack"
"14118","缺","gap"
"14119","缺","fail"
"14120","罅","fissure"
"14121","罅","crack"
"14122","罅","hole"
"14123","罌","vase"
"14124","罍","liquor jar"
"14125","罎","bottle"
"14126","罎","vial"
"14127","罎","jar"
"14128","罐","steam boiler (left side only)"
"14129","网","net"
"14130","网","net or net crown radical (no. 122)"
"14131","罕","bird-catching net"
"14132","罕","rare"
"14133","罔","net"
"14134","罘","rabbit catching net"
"14135","罟","net"
"14136","罠","trap"
"14137","罠","snare"
"14138","罨","cover"
"14139","罩","fish basket kept in water"
"14140","罧","luring fish with a bonfire"
"14141","罸","punishment"
"14142","罸","penalty"
"14143","羂","trap"
"14144","羂","snare"
"14145","羆","brown bear"
"14146","羃","power"
"14147","羃","exponent"
"14148","羈","reins"
"14149","羈","connection"
"14150","羇","reins"
"14151","羌","barbarian"
"14152","羔","lamb"
"14153","羞","feel ashamed"
"14154","羝","male sheep"
"14155","羝","ram"
"14156","羚","antelope"
"14157","羣","group"
"14158","羣","crowd"
"14159","羣","multitude"
"14160","羣","mob"
"14161","羯","barbarian"
"14162","羲","used in proper names"
"14163","羹","hot soup"
"14164","羮","hot soup"
"14165","羶","smelling like a sheep"
"14166","羸","thin"
"14167","羸","weak"
"14168","譱","virtuous"
"14169","譱","good"
"14170","譱","goodness"
"14171","翅","(insect) wings"
"14172","翅","fly"
"14173","翅","merely"
"14174","翆","color green"
"14175","翆","kingfisher"
"14176","翊","flying"
"14177","翊","assist"
"14178","翊","help"
"14179","翊","respect"
"14180","翕","gather"
"14181","翔","soar"
"14182","翔","fly"
"14183","翡","kingfisher"
"14184","翦","scissors"
"14185","翦","cut"
"14186","翦","clip"
"14187","翦","annihilate"
"14188","翩","fluttering of flag"
"14189","翳","hold aloft"
"14190","翹","excellence"
"14191","飜","flip over"
"14192","飜","upset"
"14193","飜","capsize"
"14194","耆","senility"
"14195","耄","senility"
"14196","耋","old"
"14197","耋","elderly"
"14198","耒","come"
"14199","耒","plough"
"14200","耒","three-branch tree radical (no. 127)"
"14201","耘","weed"
"14202","耙","forked hoe"
"14203","耜","plough"
"14204","耡","plough"
"14205","耡","spade"
"14206","耨","hoe"
"14207","耿","light"
"14208","耻","shame"
"14209","耻","humiliation"
"14210","耻","ashamed"
"14211","聊","slightly"
"14212","聆","listening"
"14213","聆","realizing"
"14214","聒","noisy"
"14215","聘","invite"
"14216","聚","assemble"
"14217","聟","son-in-law"
"14218","聢","certainly"
"14219","聢","(kokuji)"
"14220","聨","party"
"14221","聨","gang"
"14222","聨","clique"
"14223","聳","rise"
"14224","聳","tower"
"14225","聲","sound"
"14226","聲","voice"
"14227","聲","noise"
"14228","聲","tone"
"14229","聲","music"
"14230","聰","wise"
"14231","聰","fast learner"
"14232","聶","whisper"
"14233","聹","noisy"
"14234","聹","earwax"
"14235","聽","careful enquiry"
"14236","聽","headstrong"
"14237","聿","brush"
"14238","聿","finally"
"14239","聿","self"
"14240","聿","relate"
"14241","聿","follow"
"14242","聿","here"
"14243","聿","fast"
"14244","聿","writing brush radical (no. 129)"
"14245","肄","learn"
"14246","肄","striving"
"14247","肄","effort"
"14248","肆","four"
"14249","肅","quietly"
"14250","肅","softly"
"14251","肅","solemnly"
"14252","肛","anus"
"14253","肓","interior region of the body too deep to be reached by acupuncture"
"14254","肚","belly"
"14255","肚","stomach"
"14256","肭","new moon"
"14257","冐","risk"
"14258","冐","brave"
"14259","冐","dare"
"14260","冐","face"
"14261","冐","defy"
"14262","冐","(diseases) attack"
"14263","冐","damage"
"14264","冐","desecrate"
"14265","冐","assume (a name)"
"14266","肬","wart"
"14267","肬","tumor"
"14268","肬","goiter"
"14269","肬","papule"
"14270","胛","shoulder blade"
