"id","k_element","old_jlpt","new_jlpt"
"620","禁","2","2"
"622","筋","1","1"
"623","緊","1","1"
"624","芹","1","1"
"625","菌","1","1"
"626","衿","1","1"
"627","襟","1","1"
"628","謹","1","1"
"629","近","3","4"
"630","金","4","5"
"631","吟","1","1"
"632","銀","3","4"
"633","九","4","5"
"635","句","1","1"
"636","区","3","2"
"638","玖","1","1"
"640","苦","2","3"
"642","駆","1","1"
"644","駒","1","1"
"645","具","2","3"
"646","愚","1","1"
"647","虞","1","1"
"649","空","4","4"
"650","偶","2","3"
"652","遇","1","1"
"653","隅","2","2"
"658","屈","1","1"
"659","掘","2","2"
"662","靴","2","3"
"665","熊","1","1"
"668","栗","1","1"
"669","繰","1","1"
"670","桑","1","1"
"672","勲","1","1"
"673","君","2","3"
"674","薫","1","1"
"675","訓","2","2"
"676","群","2","2"
"677","軍","2","2"
"678","郡","1","1"
"680","袈","1","1"
"682","係","2","3"
"683","傾","2","2"
"684","刑","1","1"
"685","兄","3","4"
"686","啓","1","1"
"687","圭","1","1"
"689","型","2","2"
"690","契","1","1"
"691","形","2","3"
"692","径","1","1"
"693","恵","2","1"
"694","慶","1","1"
"695","慧","1","1"
"696","憩","1","1"
"697","掲","1","1"
"698","携","1","1"
"699","敬","2","2"
"700","景","2","3"
"701","桂","1","1"
"702","渓","1","1"
"705","系","1","1"
"706","経","2","3"
"707","継","1","1"
"710","茎","1","1"
"712","蛍","1","1"
"713","計","3","4"
"715","警","2","3"
"716","軽","3","2"
"718","鶏","1","1"
"719","芸","2","2"
"720","迎","2","3"
"721","鯨","1","1"
"722","劇","2","2"
"724","撃","1","1"
"725","激","1","1"
"728","傑","1","1"
"729","欠","2","3"
"730","決","2","3"
"731","潔","1","1"
"732","穴","1","1"
"733","結","2","1"
"734","血","2","2"
"736","月","4","5"
"737","件","2","3"
"738","倹","1","1"
"740","健","2","1"
"741","兼","1","1"
"742","券","2","2"
"743","剣","1","1"
"745","圏","1","1"
"746","堅","1","1"
"747","嫌","1","1"
"748","建","3","4"
"749","憲","1","1"
"750","懸","1","1"
"751","拳","1","1"
"753","検","2","1"
"754","権","2","3"
"756","犬","3","4"
"757","献","1","1"
"758","研","3","4"
"760","絹","1","1"
"761","県","3","2"
"762","肩","2","2"
"763","見","4","5"
"764","謙","1","1"
"765","賢","2","2"
"766","軒","2","2"
"767","遣","1","1"
"769","険","2","3"
"770","顕","1","1"
"771","験","3","4"
"773","元","3","4"
"774","原","2","3"
"775","厳","1","1"
"776","幻","1","1"
"777","弦","1","1"
"778","減","2","2"
"779","源","1","1"
"780","玄","1","1"
"781","現","2","3"
"782","絃","1","1"
"784","言","4","4"
"786","限","2","3"
"788","個","2","2"
"789","古","4","4"
"790","呼","2","3"
"791","固","2","2"
"793","孤","1","1"
"794","己","1","1"
"795","庫","2","2"
"796","弧","1","1"
"797","戸","2","2"
"798","故","2","1"
"799","枯","2","2"
"800","湖","2","2"
"805","胡","1","1"
"807","虎","1","1"
"808","誇","1","1"
"811","雇","2","2"
"812","顧","1","1"
"813","鼓","1","1"
"814","五","4","5"
"815","互","2","3"
"816","伍","1","1"
"817","午","4","5"
"818","呉","1","1"
"820","娯","1","1"
"821","後","4","5"
"822","御","2","3"
"823","悟","1","1"
"824","梧","1","1"
"826","瑚","1","1"
"827","碁","1","1"
"828","語","4","5"
"829","誤","2","3"
"830","護","1","1"
"833","鯉","1","1"
"834","交","2","3"
"836","侯","1","1"
"837","候","2","3"
"838","倖","1","1"
"839","光","3","3"
"840","公","2","4"
"841","功","1","1"
"842","効","2","2"
"844","厚","2","2"
"845","口","4","4"
"846","向","2","3"
"847","后","1","1"
"849","坑","1","1"
"851","好","3","3"
"852","孔","1","1"
"853","孝","1","1"
"854","宏","1","1"
"855","工","3","4"
"856","巧","1","1"
"858","幸","2","3"
"859","広","3","4"
"861","康","2","1"
"862","弘","1","1"
"863","恒","1","1"
"865","抗","1","1"
"866","拘","1","1"
"867","控","1","1"
"868","攻","1","1"
"869","昂","1","1"
"870","晃","1","1"
"871","更","2","3"
"873","校","4","5"
"875","構","2","3"
"876","江","1","1"
"877","洪","1","1"
"878","浩","1","1"
"879","港","2","3"
"880","溝","1","1"
"881","甲","1","1"
"882","皇","1","1"
"883","硬","2","2"
"884","稿","1","1"
"886","紅","2","2"
"887","紘","1","1"
"888","絞","1","1"
"889","綱","1","1"
"890","耕","2","2"
"891","考","3","4"
"892","肯","2","2"
"896","航","2","2"
"897","荒","2","2"
"898","行","4","5"
"899","衡","1","1"
"900","講","2","2"
"901","貢","1","1"
"902","購","1","1"
"903","郊","2","2"
"904","酵","1","1"
"905","鉱","2","2"
"907","鋼","1","1"
"909","降","2","3"
"910","項","1","1"
"911","香","2","2"
"912","高","4","5"
"913","鴻","1","1"
"914","剛","1","1"
"916","号","2","3"
"917","合","3","3"
"919","拷","1","1"
"921","豪","1","1"
"924","克","1","1"
"925","刻","2","3"
"926","告","2","3"
"927","国","4","5"
"928","穀","1","1"
"929","酷","1","1"
"931","黒","3","4"
"932","獄","1","1"
"934","腰","2","2"
"938","骨","2","2"
"940","込","2","3"
"943","今","4","5"
"944","困","2","3"
"946","墾","1","1"
"947","婚","2","3"
"948","恨","1","1"
"949","懇","1","1"
"951","昆","1","1"
"952","根","2","2"
"954","混","2","2"
"956","紺","1","1"
"958","魂","1","1"
"960","佐","1","1"
"962","唆","1","1"
"963","嵯","1","1"
"964","左","4","5"
"965","差","2","3"
"966","査","2","2"
"967","沙","1","1"
"968","瑳","1","1"
"969","砂","2","2"
"970","詐","1","1"
"971","鎖","1","1"
"972","裟","1","1"
"974","座","2","3"
"976","債","1","1"
